학번,성함,성별,이메일,RC,호실
22000001,김가윤,F,22000001@handong.edu,손양원,313
22000002,김다윤,F,22000002@handong.edu,카마이클,305
22000003,김도윤,M,22000003@handong.edu,열송학사,109
22000004,김도현,M,22000004@handong.edu,카마이클,102
22000005,김민서,F,22000005@handong.edu,갈대상자,306
22000006,김민성,M,22000006@handong.edu,카이퍼,108
22000007,김서연,F,22000007@handong.edu,장기려,309
22000008,김서우,M,22000008@handong.edu,카이퍼,110
22000009,김서율,F,22000009@handong.edu,카이퍼,313
22000010,김서준,M,22000010@handong.edu,카이퍼,107
22000011,김서진,F,22000011@handong.edu,손양원,308
22000012,김서하,F,22000012@handong.edu,장기려,310
22000013,김서희,F,22000013@handong.edu,토레이,306
22000014,김선우,M,22000014@handong.edu,장기려,108
22000015,김성현,M,22000015@handong.edu,갈대상자,104
22000016,김수민,F,22000016@handong.edu,열송학사,302
22000017,김수빈,F,22000017@handong.edu,갈대상자,304
22000018,김승민,M,22000018@handong.edu,손양원,103
22000019,김승아,F,22000019@handong.edu,갈대상자,304
22000020,김승원,M,22000020@handong.edu,손양원,107
22000021,김시연,F,22000021@handong.edu,열송학사,312
22000022,김시윤,M,22000022@handong.edu,손양원,109
22000023,김시현,F,22000023@handong.edu,카마이클,313
22000024,김아린,F,22000024@handong.edu,손양원,303
22000025,김아영,F,22000025@handong.edu,토레이,305
22000026,김연우,M,22000026@handong.edu,토레이,109
22000027,김예원,F,22000027@handong.edu,장기려,313
22000028,김예진,F,22000028@handong.edu,장기려,311
22000029,김예찬,M,22000029@handong.edu,카마이클,101
22000030,김우빈,M,22000030@handong.edu,카마이클,105
22000031,김우진,M,22000031@handong.edu,토레이,105
22000032,김윤성,M,22000032@handong.edu,카마이클,101
22000033,김윤아,F,22000033@handong.edu,장기려,304
22000034,김주아,F,22000034@handong.edu,열송학사,307
22000035,김준성,M,22000035@handong.edu,카이퍼,109
22000036,김준희,M,22000036@handong.edu,갈대상자,107
22000037,김지민,F,22000037@handong.edu,장기려,308
22000038,김지수,F,22000038@handong.edu,열송학사,311
22000039,김지연,F,22000039@handong.edu,토레이,304
22000040,김지원,M,22000040@handong.edu,카이퍼,101
22000041,김지원,F,22000041@handong.edu,토레이,312
22000042,김지율,M,22000042@handong.edu,카마이클,102
22000043,김지한,M,22000043@handong.edu,카마이클,109
22000044,김지호,M,22000044@handong.edu,갈대상자,101
22000045,김지후,M,22000045@handong.edu,토레이,104
22000046,김진우,M,22000046@handong.edu,열송학사,104
22000047,김채은,F,22000047@handong.edu,카이퍼,303
22000048,김태양,M,22000048@handong.edu,토레이,109
22000049,김하연,F,22000049@handong.edu,카마이클,304
22000050,김하율,F,22000050@handong.edu,토레이,307
22000051,박가은,F,22000051@handong.edu,손양원,303
22000052,박건우,M,22000052@handong.edu,열송학사,108
22000053,박나윤,F,22000053@handong.edu,카마이클,302
22000054,박나은,F,22000054@handong.edu,손양원,302
22000055,박동현,M,22000055@handong.edu,토레이,110
22000056,박민규,M,22000056@handong.edu,장기려,106
22000057,박민우,M,22000057@handong.edu,토레이,109
22000058,박민주,F,22000058@handong.edu,카이퍼,309
22000059,박민준,M,22000059@handong.edu,갈대상자,101
22000060,박민찬,M,22000060@handong.edu,갈대상자,103
22000061,박민채,F,22000061@handong.edu,열송학사,308
22000062,박서우,F,22000062@handong.edu,갈대상자,305
22000063,박서윤,F,22000063@handong.edu,카마이클,309
22000064,박성준,M,22000064@handong.edu,손양원,104
22000065,박세아,F,22000065@handong.edu,카마이클,301
22000066,박세은,F,22000066@handong.edu,카이퍼,314
22000067,박수아,F,22000067@handong.edu,장기려,313
22000068,박수호,M,22000068@handong.edu,갈대상자,102
22000069,박시아,F,22000069@handong.edu,카이퍼,308
22000070,박시원,M,22000070@handong.edu,카이퍼,104
22000071,박연서,F,22000071@handong.edu,토레이,310
22000072,박예나,F,22000072@handong.edu,토레이,310
22000073,박예린,F,22000073@handong.edu,토레이,303
22000074,박예빈,F,22000074@handong.edu,갈대상자,311
22000075,박예서,F,22000075@handong.edu,갈대상자,301
22000076,박예준,M,22000076@handong.edu,열송학사,107
22000077,박유나,F,22000077@handong.edu,갈대상자,305
22000078,박유빈,F,22000078@handong.edu,토레이,305
22000079,박유준,M,22000079@handong.edu,열송학사,105
22000080,박유찬,M,22000080@handong.edu,카이퍼,108
22000081,박윤재,M,22000081@handong.edu,토레이,106
22000082,박윤지,F,22000082@handong.edu,손양원,315
22000083,박윤호,M,22000083@handong.edu,손양원,101
22000084,박은서,F,22000084@handong.edu,열송학사,302
22000085,박은찬,M,22000085@handong.edu,카마이클,108
22000086,박은채,F,22000086@handong.edu,토레이,306
22000087,박이준,M,22000087@handong.edu,카이퍼,110
22000088,박재민,M,22000088@handong.edu,손양원,103
22000089,박준혁,M,22000089@handong.edu,토레이,104
22000090,박지아,F,22000090@handong.edu,열송학사,302
22000091,박지유,F,22000091@handong.edu,손양원,310
22000092,박지윤,F,22000092@handong.edu,장기려,306
22000093,박지율,F,22000093@handong.edu,열송학사,301
22000094,박지훈,M,22000094@handong.edu,카마이클,103
22000095,박하린,F,22000095@handong.edu,카이퍼,302
22000096,박하영,F,22000096@handong.edu,카마이클,312
22000097,박하율,M,22000097@handong.edu,카이퍼,109
22000098,박현수,M,22000098@handong.edu,장기려,108
22000099,박현우,M,22000099@handong.edu,장기려,106
22000100,유강민,M,22000100@handong.edu,장기려,105
22000101,유다은,F,22000101@handong.edu,갈대상자,301
22000102,유도훈,M,22000102@handong.edu,열송학사,101
22000103,유민석,M,22000103@handong.edu,손양원,107
22000104,유민지,F,22000104@handong.edu,카이퍼,302
22000105,유민혁,M,22000105@handong.edu,장기려,102
22000106,유민호,M,22000106@handong.edu,갈대상자,106
22000107,유사랑,F,22000107@handong.edu,카마이클,310
22000108,유서아,F,22000108@handong.edu,토레이,303
22000109,유서은,F,22000109@handong.edu,갈대상자,303
22000110,유서진,M,22000110@handong.edu,손양원,101
22000111,유소민,F,22000111@handong.edu,열송학사,307
22000112,유소윤,F,22000112@handong.edu,열송학사,304
22000113,유소율,F,22000113@handong.edu,열송학사,310
22000114,유수연,F,22000114@handong.edu,카이퍼,304
22000115,유승준,M,22000115@handong.edu,열송학사,108
22000116,유승현,M,22000116@handong.edu,카이퍼,103
22000117,유시온,M,22000117@handong.edu,열송학사,101
22000118,유시우,M,22000118@handong.edu,열송학사,107
22000119,유시은,F,22000119@handong.edu,손양원,314
22000120,유시현,M,22000120@handong.edu,카이퍼,101
22000121,유아인,F,22000121@handong.edu,토레이,301
22000122,유연우,F,22000122@handong.edu,갈대상자,303
22000123,유예림,F,22000123@handong.edu,갈대상자,305
22000124,유율,M,22000124@handong.edu,카이퍼,108
22000125,유유주,F,22000125@handong.edu,열송학사,309
22000126,유윤우,M,22000126@handong.edu,손양원,103
22000127,유은성,M,22000127@handong.edu,장기려,109
22000128,유이안,M,22000128@handong.edu,갈대상자,105
22000129,유재현,M,22000129@handong.edu,열송학사,108
22000130,유주원,M,22000130@handong.edu,갈대상자,101
22000131,유준,M,22000131@handong.edu,카마이클,102
22000132,유준서,M,22000132@handong.edu,열송학사,101
22000133,유준우,M,22000133@handong.edu,갈대상자,101
22000134,유지민,M,22000134@handong.edu,카이퍼,105
22000135,유지안,F,22000135@handong.edu,열송학사,306
22000136,유지우,M,22000136@handong.edu,열송학사,110
22000137,유지우,F,22000137@handong.edu,장기려,302
22000138,유지은,F,22000138@handong.edu,장기려,302
22000139,유채린,F,22000139@handong.edu,갈대상자,310
22000140,유채윤,F,22000140@handong.edu,손양원,311
22000141,유태민,M,22000141@handong.edu,토레이,108
22000142,유태희,F,22000142@handong.edu,카이퍼,304
22000143,유하람,M,22000143@handong.edu,카이퍼,110
22000144,유하민,M,22000144@handong.edu,열송학사,109
22000145,유하준,M,22000145@handong.edu,카마이클,105
22000146,유하진,M,22000146@handong.edu,카마이클,104
22000147,유혜원,F,22000147@handong.edu,갈대상자,306
22000148,이건,M,22000148@handong.edu,갈대상자,107
22000149,이규리,F,22000149@handong.edu,갈대상자,307
22000150,이규민,M,22000150@handong.edu,열송학사,101
22000151,이나연,F,22000151@handong.edu,손양원,315
22000152,이나현,F,22000152@handong.edu,카이퍼,301
22000153,이다연,F,22000153@handong.edu,토레이,308
22000154,이다온,F,22000154@handong.edu,갈대상자,309
22000155,이다인,F,22000155@handong.edu,손양원,307
22000156,이다현,F,22000156@handong.edu,카마이클,309
22000157,이도연,F,22000157@handong.edu,장기려,306
22000158,이민아,F,22000158@handong.edu,카마이클,307
22000159,이민재,M,22000159@handong.edu,토레이,101
22000160,이서영,F,22000160@handong.edu,토레이,305
22000161,이서현,F,22000161@handong.edu,카이퍼,314
22000162,이성민,M,22000162@handong.edu,손양원,106
22000163,이소연,F,22000163@handong.edu,토레이,306
22000164,이소은,F,22000164@handong.edu,손양원,314
22000165,이수현,F,22000165@handong.edu,손양원,314
22000166,이수현,M,22000166@handong.edu,카마이클,103
22000167,이승우,M,22000167@handong.edu,카마이클,110
22000168,이시후,M,22000168@handong.edu,카마이클,109
22000169,이아윤,F,22000169@handong.edu,카마이클,310
22000170,이예성,M,22000170@handong.edu,손양원,110
22000171,이예은,F,22000171@handong.edu,열송학사,306
22000172,이예지,F,22000172@handong.edu,카이퍼,313
22000173,이유진,F,22000173@handong.edu,카마이클,314
22000174,이윤서,F,22000174@handong.edu,카마이클,314
22000175,이은우,M,22000175@handong.edu,카마이클,104
22000176,이은호,M,22000176@handong.edu,카마이클,103
22000177,이재원,M,22000177@handong.edu,갈대상자,102
22000178,이재윤,M,22000178@handong.edu,카마이클,105
22000179,이정민,M,22000179@handong.edu,카마이클,108
22000180,이정우,M,22000180@handong.edu,토레이,103
22000181,이정현,M,22000181@handong.edu,열송학사,103
22000182,이주하,F,22000182@handong.edu,갈대상자,308
22000183,이준수,M,22000183@handong.edu,열송학사,108
22000184,이준영,M,22000184@handong.edu,카이퍼,105
22000185,이준호,M,22000185@handong.edu,카마이클,105
22000186,이지성,M,22000186@handong.edu,열송학사,109
22000187,이지안,M,22000187@handong.edu,갈대상자,103
22000188,이지완,M,22000188@handong.edu,열송학사,102
22000189,이지현,F,22000189@handong.edu,갈대상자,304
22000190,이지환,M,22000190@handong.edu,갈대상자,102
22000191,이채아,F,22000191@handong.edu,장기려,308
22000192,이채원,F,22000192@handong.edu,토레이,312
22000193,이태윤,M,22000193@handong.edu,카이퍼,103
22000194,이태현,M,22000194@handong.edu,갈대상자,106
22000195,이하윤,F,22000195@handong.edu,손양원,308
